32 black true
23 ???? false
9 while false
2 de090  false
99  orange true
1 2ma false
20 manergement  false
8 ssssassssa   false
32 BLACK    true
12 pinapple  true
3 +50abcdefghijk  FALSE
6 stranhijk*   true
10 ddddaddddaddd  false
12 ddddadddd18ad  true
10 while2  T
-999 abcdefghijkl   true
0 abcdefghijklmnop1234   0
0 abcdefghijklmnop12345   0
0 abcdefghijklmnop12345;   0
0 abcdefghijklmnop1234567890ab   0
0 abcdefghijklmnop1234567890?   0
-11 a;sss999sssssss   F
5 ok   false
1 a   true
0 cracke%   T
13 lemon_ade  F
15 lemonade  F
16 lemonades  true
17 Lemonadesoranges F
